timestamp,date,time,lat,lon,azimuth_deg,zenith_deg,elevation_deg,weather_multiplier,pv_factor_raw,pv_factor,pv_capacity_kw,pv_power_kw
2026-01-01 00:00:00,2026-01-01,00:00:00,9.0765,7.3986,156.48224823772247,164.70553170882286,-74.70553170882286,1.0,0.0,0.0,2.0,0.0
2026-01-01 00:15:00,2026-01-01,00:15:00,9.0765,7.3986,145.8807131990746,162.9128948271812,-72.91289482718119,1.0,0.0,0.0,2.0,0.0
2026-01-01 00:30:00,2026-01-01,00:30:00,9.0765,7.3986,137.63488228128963,160.6149230089958,-70.61492300899579,1.0,0.0,0.0,2.0,0.0
2026-01-01 00:45:00,2026-01-01,00:45:00,9.0765,7.3986,131.35530743126887,157.96982596303494,-67.96982596303494,1.0,0.0,0.0,2.0,0.0
2026-01-01 01:00:00,2026-01-01,01:00:00,9.0765,7.3986,126.58002110678102,155.0886866450043,-65.08868664500429,1.0,0.0,0.0,2.0,0.0
2026-01-01 01:15:00,2026-01-01,01:15:00,9.0765,7.3986,122.92305559576573,152.04524045947585,-62.04524045947585,1.0,0.0,0.0,2.0,0.0
2026-01-01 01:30:00,2026-01-01,01:30:00,9.0765,7.3986,120.09655768783117,148.88801200322223,-58.88801200322223,1.0,0.0,0.0,2.0,0.0
2026-01-01 01:45:00,2026-01-01,01:45:00,9.0765,7.3986,117.89385196793376,145.6493643777564,-55.6493643777564,1.0,0.0,0.0,2.0,0.0
2026-01-01 02:00:00,2026-01-01,02:00:00,9.0765,7.3986,116.16761926056903,142.3513782679167,-52.35137826791669,1.0,0.0,0.0,2.0,0.0
2026-01-01 02:15:00,2026-01-01,02:15:00,9.0765,7.3986,114.81223007432345,139.00951963716983,-49.00951963716983,1.0,0.0,0.0,2.0,0.0
2026-01-01 02:30:00,2026-01-01,02:30:00,9.0765,7.3986,113.75110164935975,135.63492072553598,-45.63492072553598,1.0,0.0,0.0,2.0,0.0
2026-01-01 02:45:00,2026-01-01,02:45:00,9.0765,7.3986,112.9280141412607,132.23581703344925,-42.23581703344925,1.0,0.0,0.0,2.0,0.0
2026-01-01 03:00:00,2026-01-01,03:00:00,9.0765,7.3986,112.30120654497563,128.81847073044318,-38.81847073044318,1.0,0.0,0.0,2.0,0.0
2026-01-01 03:15:00,2026-01-01,03:15:00,9.0765,7.3986,111.83934986825328,125.38777773171019,-35.38777773171019,1.0,0.0,0.0,2.0,0.0
